Country Name,Country Code,Region,IncomeGroup,SpecialNotes,TableName,year,co2_emissions
Afghanistan,AFG,South Asia,Low income,"Central Statistics Organization; World Bank staff estimates ; Source of population estimates: UN Population Division's World Population Prospects 2019 PROVISIONAL estimates. Not for circulation. Subject to change. 
Fiscal year end: March 20; reporting period for national accounts data is calendar year, estimated to insure consistency between national accounts and fiscal data.",Afghanistan,1960,0.0460598969515529
Angola,AGO,Sub-Saharan Africa,Lower middle income,IMF ; Source of population estimates: UN Population Division's World Population Prospects 2019 PROVISIONAL estimates. Not for circulation. Subject to change.,Angola,1960,0.097471603786658
Albania,ALB,Europe & Central Asia,Upper middle income,"Albanian Institute of Statistics ; Source of population estimates: Institute of Statistics, Eurostat",Albania,1960,1.25819492789657
United Arab Emirates,ARE,Middle East & North Africa,High income,National Bureau of Statistics & Federal Competitiveness & Statistics Authority ; Source of population estimates: UN Population Division's World Population Prospects 2019 PROVISIONAL estimates. Not for circulation. Subject to change.,United Arab Emirates,1960,0.118757691560334
Argentina,ARG,Latin America & Caribbean,High income,National Institute of Statistics and Census (INDEC) ; Source of population estimates: UN Population Division's World Population Prospects 2019 PROVISIONAL estimates. Not for circulation. Subject to change.,Argentina,1960,2.3674730316466697
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,Eastern Caribbean Central Bank ; Source of population estimates: UN Population Division's World Population Prospects 2019 PROVISIONAL estimates. Not for circulation. Subject to change.,Antigua and Barbuda,1960,0.662642982345181
Australia,AUS,East Asia & Pacific,High income,ABS (Australian Bureau of Statistics) ; Source of population estimates: Australian Bureau of Statistics. Fiscal year end: June 30; reporting period for national accounts data: FY.,Australia,1960,8.58293664258675
Austria,AUT,Europe & Central Asia,High income,"OECD (Organization for Economic Cooperation and Development) ; Source of population estimates: Eurostat. A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 13.7603 Austrian schilling. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Austria,1960,4.37331882803344
Belgium,BEL,Europe & Central Asia,High income,"OECD (Organization for Economic Cooperation and Development) ; Source of population estimates: Eurostat. A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Belgian franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Belgium,1960,9.94159407412845
Benin,BEN,Sub-Saharan Africa,Low income,Government of Benin  ; Source of population estimates: UN Population Division's World Population Prospects 2019 PROVISIONAL estimates. Not for circulation. Subject to change.,Benin,1960,0.0663540632548974
Burkina Faso,BFA,Sub-Saharan Africa,Low income,National forecast tool (Instrument Automatise de Prevision).  ; Source of population estimates: UN Population Division's World Population Prospects 2019 PROVISIONAL estimates. Not for circulation. Subject to change.,Burkina Faso,1960,0.00911190221001522
